GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1400000US06001437800,06001437800,"Census Tract 4378, Alameda County, California",1362,36,51,42,30,24,46,44,22,20,39,44,19,21,90,74,12,13,115,71,84,49,190,66,204,76,260,90,79,57,73,48,48,36
1400000US06001437900,06001437900,"Census Tract 4379, Alameda County, California",687,26,26,27,21,18,35,28,15,12,42,33,34,27,33,26,45,34,23,23,71,26,97,39,79,40,103,41,33,30,19,17,11,11
1400000US06001438000,06001438000,"Census Tract 4380, Alameda County, California",1063,53,25,22,21,25,7,10,22,22,49,48,40,36,82,63,64,39,34,30,101,59,105,53,149,67,140,63,40,44,79,48,105,57
1400000US06001438100,06001438100,"Census Tract 4381, Alameda County, California",2090,93,72,95,164,156,41,47,118,103,66,83,57,41,18,21,77,83,14,25,120,91,195,97,272,96,332,136,172,105,173,89,199,93
1400000US06001438201,06001438201,"Census Tract 4382.01, Alameda County, California",1195,53,42,50,24,23,39,31,13,15,27,26,104,54,73,43,66,43,26,35,121,52,149,58,154,75,148,62,141,69,47,33,21,22
1400000US06001438203,06001438203,"Census Tract 4382.03, Alameda County, California",1254,67,59,36,76,49,46,51,73,63,51,54,88,57,19,21,30,26,46,32,32,34,118,61,216,92,62,41,153,90,46,46,139,73
1400000US06001438204,06001438204,"Census Tract 4382.04, Alameda County, California",1778,82,24,22,74,40,40,25,99,49,39,32,155,79,91,53,98,51,80,63,199,83,142,68,154,62,155,69,130,78,197,81,101,53
1400000US06001438300,06001438300,"Census Tract 4383, Alameda County, California",890,39,10,11,37,26,12,14,54,39,48,34,40,28,18,21,69,37,25,25,59,30,104,46,183,70,104,43,71,33,20,16,36,22
1400000US06001438400,06001438400,"Census Tract 4384, Alameda County, California",715,40,16,12,17,12,29,20,16,12,29,23,31,19,27,24,6,8,10,12,65,35,99,43,124,43,88,46,66,37,46,25,46,31
1400000US06001440100,06001440100,"Census Tract 4401, Alameda County, California",1002,56,40,25,28,21,37,26,80,36,37,28,47,24,15,13,59,36,47,33,61,32,108,41,124,52,147,43,49,28,88,35,35,28
