,Parks and Recreation Facilities,Facility Type,geometry
58,Jefferson Dog Play Area,Dog Play Area,POINT (-122.2780429148968 37.80033141259845)
59,Bushrod,Tennis Court,POINT (-122.2634707076902 37.84481782053176)
60,Oak Glen Park,Park,POINT (-122.2583760344769 37.82030385518474)
61,Tassafaronga,Recreation Center,POINT (-122.1842247808833 37.75005482329063)
62,FM Smith,Recreation Center,POINT (-122.2487898206781 37.80037428039416)
63,Lazear Field,Athletic Field,POINT (-122.2730199996731 37.80505999961946)
64,"William ""Bill"" Patterson Park",Park,POINT (-122.1893708015905 37.73802473854441)
65,Poplar Park,Park,POINT (-122.2835117589695 37.82337367662853)
66,Wade Johnson,Athletic Field,POINT (-122.2870910606461 37.81628701903762)
67,DeFremery Park,Park,POINT (-122.2855350054664 37.81141714212085)
68,Fruitvale Bridge Park,Park,POINT (-122.2295477259517 37.76940222142491)
69,Peralta Hacienda Park,Park,POINT (-122.2168270304969 37.78752670054064)
70,Franklin,Athletic Field,POINT (-122.2730199996731 37.80505999961946)
71,Cypress Freeway Memorial Park,Park,POINT (-122.2917405555376 37.81084612076035)
72,Dimond Park,Park,POINT (-122.2144166908494 37.80708298407534)
73,Digital Arts and Culinary Academy,Cultural Arts,POINT (-122.1998208509228 37.76525948709514)
74,Chinese Garden Park,Park,POINT (-122.2730199996731 37.80505999961946)
75,Davies Tennis Stadium,Tennis Court,POINT (-122.230774922996 37.8164131064804)
76,Willie Keyes,Recreation Center,POINT (-122.2835117589695 37.82337367662853)
77,Morcom Rose Garden,Park,POINT (-122.2460520236996 37.81930232044508)
78,Golden Gate,Athletic Field,POINT (-122.2730199996731 37.80505999961946)
79,deFremery,Tennis Court,POINT (-122.2730199996731 37.80505999961946)
80,Sobrante,Athletic Field,POINT (-122.177418739173 37.72832433135181)
81,88th Avenue Mini Park,Park,POINT (-122.1714202612375 37.7528398498705)
82,Lazear Park,Park,POINT (-122.232449652662 37.77570663822536)
83,San Antonio,Recreation Center,POINT (-122.2399257571915 37.79100751139034)
84,Peralta Park,Park,POINT (-122.2644153124462 37.79830891262338)
85,Mosswood,Athletic Field,POINT (-122.2619099101306 37.82388635030956)
86,Tassafaronga Park,Community Gardens,POINT (-122.184847139135 37.75170670411359)
87,Carter Gilmore #3 HB,Athletic Field,POINT (-122.1984089153368 37.75544788375549)
88,Vantage Point Park,Park,POINT (-122.2480878364553 37.78914136717913)
89,Lakeside Park Garden Center,Rental Facility,POINT (-122.2588597277328 37.80795499033483)
90,Lincoln Square,Recreation Center,POINT (-122.2681423454887 37.79970352081733)
91,Beaumont Park,Park,POINT (-122.2730199996731 37.80505999961946)
92,Central Reservoir,Athletic Field,POINT (-122.2730199996731 37.80505999961946)
93,Union Plaza,Park,POINT (-122.2823353915244 37.82594913854309)
94,Clinton Square Park,Park,POINT (-122.2537416356542 37.79439275994709)
95,Bushrod Park,Community Gardens,POINT (-122.2642841697622 37.84468985663673)
96,McConnell,Athletic Field,POINT (-122.1738697850346 37.76125655356008)
97,Estuary Channel Park,Park,POINT (-122.2643267589457 37.79098860532374)
98,Elmhurst Lyons Field,Park,POINT (-122.165601647708 37.74664352108863)
99,Marston Campbell Park,Community Gardens,POINT (-122.2804001047481 37.80972196822376)
100,Chabot,Athletic Field,POINT (-122.2730199996731 37.80505999961946)
101,San Antonio Park,Park,POINT (-122.2399257571915 37.79100751139034)
102,25th Street Mini Park,Park,POINT (-122.2356408473499 37.7957554971087)
103,Lake Chabot Golf Course ,Golf Course,POINT (-122.1185362826549 37.74301921135521)
104,Carmen Flores,Recreation Center,POINT (-122.2245093885261 37.78041404360486)
